AnneeMoy;EvolClim;rcp;CO2
2020;0;;416
2025;0;;416
2030;0;;416
2035;0;;416
2040;0;;416
2045;0;;416
2050;0;;416
2055;0;;416
2060;0;;416
2065;0;;416
2070;0;;416
2075;0;;416
2080;0;;416
2085;0;;416
2090;0;;416
2095;0;;416
2100;0;;416
2020;1;RCP45;416
2025;1;RCP45;432.6666667
2030;1;RCP45;449.3333333
2035;1;RCP45;466
2040;1;RCP45;482.6666667
2045;1;RCP45;499.3333333
2050;1;RCP45;516
2055;1;RCP45;524.75
2060;1;RCP45;533.5
2065;1;RCP45;542.25
2070;1;RCP45;551
2075;1;RCP45;553.5
2080;1;RCP45;556
2085;1;RCP45;558.5
2090;1;RCP45;561
2095;1;RCP45;563.5
2100;1;RCP45;566
2020;1;RCP85;416
2025;1;RCP85;435
2030;1;RCP85;454
2035;1;RCP85;473
2040;1;RCP85;492
2045;1;RCP85;511
2050;1;RCP85;530
2055;1;RCP85;567.5
2060;1;RCP85;605
2065;1;RCP85;642.5
2070;1;RCP85;680
2075;1;RCP85;721.6666667
2080;1;RCP85;763.3333333
2085;1;RCP85;805
2090;1;RCP85;846.6666667
2095;1;RCP85;888.3333333
2100;1;RCP85;930
